"anio","variable","unidad","codigo_variable","valor","fuente"
1998,"Producción de petróleo crudo","barriles","Q_crudo_regalias",296505952.436694,"Sec. Energía - Regalías"
1999,"Producción de petróleo crudo","barriles","Q_crudo_regalias",277696772.554344,"Sec. Energía - Regalías"
2000,"Producción de petróleo crudo","barriles","Q_crudo_regalias",269251895.298342,"Sec. Energía - Regalías"
2001,"Producción de petróleo crudo","barriles","Q_crudo_regalias",271502835.144552,"Sec. Energía - Regalías"
2002,"Producción de petróleo crudo","barriles","Q_crudo_regalias",263813107.565568,"Sec. Energía - Regalías"
2003,"Producción de petróleo crudo","barriles","Q_crudo_regalias",253178470.27869,"Sec. Energía - Regalías"
2004,"Producción de petróleo crudo","barriles","Q_crudo_regalias",238558430.5401,"Sec. Energía - Regalías"
2005,"Producción de petróleo crudo","barriles","Q_crudo_regalias",223865031.165864,"Sec. Energía - Regalías"
2006,"Producción de petróleo crudo","barriles","Q_crudo_regalias",222152436.622512,"Sec. Energía - Regalías"
2007,"Producción de petróleo crudo","barriles","Q_crudo_regalias",214937898.841974,"Sec. Energía - Regalías"
2008,"Producción de petróleo crudo","barriles","Q_crudo_regalias",208059287.328816,"Sec. Energía - Regalías"
2009,"Producción de petróleo crudo","barriles","Q_crudo_regalias",204941825.82654,"Sec. Energía - Regalías"
2010,"Producción de petróleo crudo","barriles","Q_crudo_regalias",197987224.534968,"Sec. Energía - Regalías"
2011,"Producción de petróleo crudo","barriles","Q_crudo_regalias",184055431.065858,"Sec. Energía - Regalías"
2012,"Producción de petróleo crudo","barriles","Q_crudo_regalias",183502681.429122,"Sec. Energía - Regalías"
2013,"Producción de petróleo crudo","barriles","Q_crudo_regalias",173900142.644778,"Sec. Energía - Regalías"
2014,"Producción de petróleo crudo","barriles","Q_crudo_regalias",174504828.418074,"Sec. Energía - Regalías"
2015,"Producción de petróleo crudo","barriles","Q_crudo_regalias",175540962.0789,"Sec. Energía - Regalías"
2016,"Producción de petróleo crudo","barriles","Q_crudo_regalias",166419125.914008,"Sec. Energía - Regalías"
2017,"Producción de petróleo crudo","barriles","Q_crudo_regalias",157994322.42891,"Sec. Energía - Regalías"
2018,"Producción de petróleo crudo","barriles","Q_crudo_regalias",158983017.789156,"Sec. Energía - Regalías"
