"anio","unidad","fuente","ebe_extr","variable","valor","ipc_18"
2004,"Millones de pesos de 2018","CCNN oficial",18526.5277949379,"vbp_tot",605501.567272043,0.0573093232851776
2005,"Millones de pesos de 2018","CCNN oficial",21293.1665189197,"vbp_tot",627606.74180259,0.06283489501643
2006,"Millones de pesos de 2018","CCNN oficial",28667.6248841486,"vbp_tot",772533.841776871,0.0696825181531
2007,"Millones de pesos de 2018","CCNN oficial",26564.4428305655,"vbp_tot",712644.710150728,0.0787987294236016
2008,"Millones de pesos de 2018","CCNN oficial",28823.9069738174,"vbp_tot",664428.691791113,0.0966397122915426
2009,"Millones de pesos de 2018","CCNN oficial",33295.4688696335,"vbp_tot",622221.967386006,0.110989006968625
2010,"Millones de pesos de 2018","CCNN oficial",39646.7651055038,"vbp_tot",591464.751585223,0.139680736539505
2011,"Millones de pesos de 2018","CCNN oficial",42990.2359214081,"vbp_tot",570715.23475708,0.172996874682735
2012,"Millones de pesos de 2018","CCNN oficial",50445.0753993021,"vbp_tot",557976.878900058,0.213895817270008
2013,"Millones de pesos de 2018","CCNN oficial",59514.1610140225,"vbp_tot",550769.123876907,0.269306860057677
2014,"Millones de pesos de 2018","CCNN oficial",112607.98080185,"vbp_tot",596535.226968097,0.384262651040995
2015,"Millones de pesos de 2018","CCNN oficial",121581.993031905,"vbp_tot",517794.796670129,0.486354061769147
2016,"Millones de pesos de 2018","CCNN oficial",173450.555349506,"vbp_tot",524854.427007677,0.675781489377854
2017,"Millones de pesos de 2018","CCNN oficial",200015.665968527,"vbp_tot",488179.178803275,0.834016110429706
2018,"Millones de pesos de 2018","CCNN oficial",383943.136618251,"vbp_tot",770622.405779598,1
2019,"Millones de pesos de 2018","CCNN oficial",559207.293761109,"vbp_tot",NA,NA
2020,"Millones de pesos de 2018","CCNN oficial",NA,"vbp_tot",NA,NA
1911,"Millones de pesos de 2018","Criterio CCNN",NA,"vbp_tot",NA,NA
