anio,fuente,variable,unidad,valor
2004.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,34700.885068475254
2005.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,39435.60373276943
2006.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,53832.1034535009
2007.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,56155.49769032822
2008.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,64210.197612939206
2009.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,69059.79827423714
2010.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,82616.23213857913
2011.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,98731.95194679829
2012.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,119348.92053009581
2013.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,148325.90336800748
2014.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,229226.20775410262
2015.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,251831.60252344699
2016.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,354686.9063898084
2017.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,407149.29989827564
2018.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,827566.4775253263
2019.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,1143289.209678553
2020.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,1066229.6718190925
2021.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,2277204.7644472076
2022.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,4043367.0477501005
2023.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,10062005.171601433
2024.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,33732039.91998815
2025.0,CCNN oficial,vbp_tot,Millones de pesos corrientes,45328728.55097801
1922.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1923.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1924.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1925.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1926.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1927.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
1928.0,Criterio CCNN,vbp_tot,Millones de pesos corrientes,
